fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
30,USA,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.036856127886323274,other,14.248582426445369,0.2626641651031895,0.9469631928899999,0.11707751744000017,0.15217391304347827,14,actual,134,actual,0.6548672566371682,2,1,2,1,1,0,0,104293,1436,135771,931026,200,3639,2074,44,0.57,226,148,14,0.61,109,632625,317475,194738,2021-03-30,https://covidactnow.org/us/montana-mt,0.29704484935131525,0.18220622056217475,0,502390
37,USA,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.04944336820353868,other,17.607737368563082,0.13158505453701555,1.0177631762100001,0.09999999999999987,0.2690951821386604,229,actual,1632,actual,0.7494965767217077,2,1,2,1,1,0,1,911694,12110,902352,9113942,1215,29396,18059,976,0.64,2483,1861,229,0.77562210038,5178,5680940,2974973,1678682,2021-03-30,https://covidactnow.org/us/north_carolina-nc,0.2836526671601791,0.1600561170181322,59,4596429
38,USA,ND,,state,,iso1:us#iso2:us-nd,,762062,0.03524351325100596,other,17.602617259862996,0.7454739084132056,1.11055561604,0.14105801813999985,0.0761904761904762,8,actual,89,actual,0.5,2,1,2,1,2,0,0,102671,1498,79929,1189912,500,3991,1687,79,0.55,194,97,8,0.67,56,437720,237354,151984,2021-03-30,https://covidactnow.org/us/north_dakota-nd,0.3114628468549803,0.19943784101556042,0,401626
31,USA,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.07403918613413715,other,15.072902333500922,0.6859382655561,1.033596925,0.09999999999999987,0.14227642276422764,35,actual,329,actual,0.6330434782608696,2,1,2,1,1,0,0,209165,2282,295462,1559983,1000,7482,2856,123,0.53,575,364,35,0.638330757342,298,1072470,578881,337174,2021-03-30,https://covidactnow.org/us/nebraska-ne,0.2992548624695514,0.17430345614782403,1,900049
33,USA,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.035264035575319624,other,27.211664831717915,0.07567567567567568,1.11495162388,0.10000000000000009,0.13559322033898305,16,actual,164,actual,0.6382978723404256,3,1,3,2,2,0,0,83340,1237,69007,1589664,140,3472,2244,87,0.68,282,180,16,0.56,313,743355,410366,230996,2021-03-30,https://covidactnow.org/us/new_hampshire-nh,0.30180383919818254,0.16988610079641928,0,602562
34,USA,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.0919917425382648,other,50.23535862214161,0.1344688480502017,1.06733365672,0.10000000000000009,0.19071644803229063,378,actual,1050,actual,0.470976253298153,3,1,3,1,1,0,0,900271,24404,829203,10496625,3000,30568,17496,2257,0.69,3032,1428,378,0.176470588235,3621,4794085,2859012,1566611,2021-03-30,https://covidactnow.org/us/new_jersey-nj,0.3218814278910944,0.17637665935991012,15,4204062
35,USA,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.020802627700341098,other,9.1089926741761,0.39267015706806285,0.947180745445,0.10445524768499992,0.1949685534591195,31,actual,279,actual,0.7077625570776256,1,0,1,1,1,0,1,191230,3927,139681,1807616,375,5482,2984,131,0.59,438,310,31,0.59,182,1337435,785813,485160,2021-03-30,https://covidactnow.org/us/new_mexico-nm,0.37476255812944215,0.23137795213629725,0,1239316
32,USA,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.051321429390056614,other,8.960585113221539,0.43478260869565216,0.876755799447,0.09999999999999998,0.19195046439628483,62,actual,526,actual,0.6925795053003534,1,1,1,1,0,0,0,303305,5237,418377,2601822,600,9585,6264,315,0.68,849,588,62,0.79,212,1548430,842620,483961,2021-03-30,https://covidactnow.org/us/nevada-nv,0.27356406623560625,0.1571222366659351,1,1328018
36,USA,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.05482065474069717,other,42.87475525260731,0.2306770042362721,1.0608315233399999,0.10000000000000009,0.3414285714285714,956,actual,2775,actual,0.6692376681614349,3,1,3,1,1,0,0,1858162,49648,1989622,33591012,9620,62862,40191,5483,0.74,5575,3731,956,0.63,8972,11109835,5861761,3071121,2021-03-30,https://covidactnow.org/us/new_york-ny,0.30132071963585483,0.15786934844473977,111,8862843
39,USA,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.033415201654601864,other,14.572794923720144,0.19478362965447837,1.02047196893,0.10000000000000009,0.14514145141451415,236,actual,2499,actual,0.6630303030303031,2,1,2,1,1,0,0,1013119,18526,883797,9939444,1659,48487,23011,1377,0.61,4125,2735,236,0.732111692845,1497,6386995,3324459,1919893,2021-03-30,https://covidactnow.org/us/ohio-oh,0.2844067550110787,0.16424643471268105,0,5168120
40,USA,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.042839176230152494,other,8.675467024795337,0.40782355389096964,0.8729926712720001,0.09999999999999998,0.2222222222222222,80,actual,724,actual,0.7416974169741697,1,1,1,1,0,0,1,437853,4850,199572,1299262,700,15316,7583,378,0.55,1084,804,80,0.8300653594769999,882,2530785,1201827,685348,2021-03-30,https://covidactnow.org/us/oklahoma-ok,0.3037239848358757,0.17320015739311712,0,1888004
41,USA,OR,,state,,iso1:us#iso2:us-or,,4217737,0.058245651707107576,other,8.318611209213444,0.3739413680781759,1.05184698153,0.09999999999999987,0.08307692307692308,27,actual,465,actual,0.6227848101265823,1,1,1,1,1,0,0,164256,2390,258400,3798600,656,9401,4881,155,0.66,790,492,27,0.755994358251,304,2205385,1158213,679516,2021-03-30,https://covidactnow.org/us/oregon-or,0.2746053155993368,0.161109144548368,4,1802561
